stationCode,line,currentZh,currentKo,currentEn,problem,suggestedFix,sources,confidence
241,首爾 2 號線,梨大,이대,Idae,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「梨花女子大學」；英文採官方站名「Ewha Womans Univ.」；英文改為「Ewha Womans Univ.」；若仍要保留拼音，另增 romanized 欄位,[首爾地鐵2號線](https://zh.wikipedia.org/wiki/首爾地鐵2號線)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do)；[Seoul Metro multilingual 2026-03-26](https://www.data.go.kr/data/15044232/fileData.do),中
332,首爾 3 號線,東大入口,동대입구,Dongdaeipgu,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「東國大學」；英文採官方站名「Dongguk Univ.」；英文改為「Dongguk Univ.」；若仍要保留拼音，另增 romanized 欄位,[首都圈電鐵3號線](https://zh.wikipedia.org/wiki/首都圈電鐵3號線)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do)；[Seoul Metro multilingual 2026-03-26](https://www.data.go.kr/data/15044232/fileData.do),中
340,首爾 3 號線,教大,교대,Gyodae,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「首爾教育大學」；英文採官方站名「Seoul Nat'l Univ. of Education(Court & Prosecutors’ Office)」；英文改為「Seoul Nat'l Univ. of Education(Court & Prosecutors’ Office)」；若仍要保留拼音，另增 romanized 欄位,[首都圈電鐵3號線](https://zh.wikipedia.org/wiki/首都圈電鐵3號線)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do)；[Seoul Metro multilingual 2026-03-26](https://www.data.go.kr/data/15044232/fileData.do),中
418,首爾 4 號線,誠信女大入口,성신여대입구,Seongsinyeodae Ipgu,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「誠信女子大學」；英文採官方站名「Sungshin Women's Univ. (Donam)」；英文改為「Sungshin Women's Univ. (Donam)」；若仍要保留拼音，另增 romanized 欄位,[首都圈电铁4号线](https://zh.wikipedia.org/wiki/首都圈电铁4号线)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do)；[Seoul Metro multilingual 2026-03-26](https://www.data.go.kr/data/15044232/fileData.do),中
419,首爾 4 號線,漢城大入口,한성대입구,Hanseongdaeipgu,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「漢城大學」；英文採官方站名「Hansung Univ. (Samseongyo)」；英文改為「Hansung Univ. (Samseongyo)」；若仍要保留拼音，另增 romanized 欄位,[首都圈电铁4号线](https://zh.wikipedia.org/wiki/首都圈电铁4号线)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do)；[Seoul Metro multilingual 2026-03-26](https://www.data.go.kr/data/15044232/fileData.do),中
427,首爾 4 號線,淑大入口,숙대입구,Sukdaeipgu,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「淑明女子大學」；英文採官方站名「Sookmyung Women's Univ. (Seoul Metropolitan Office of Education)」；英文改為「Sookmyung Women's Univ. (Seoul Metropolitan Office of Education)」；若仍要保留拼音，另增 romanized 欄位,[首都圈电铁4号线](https://zh.wikipedia.org/wiki/首都圈电铁4号线)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do)；[Seoul Metro multilingual 2026-03-26](https://www.data.go.kr/data/15044232/fileData.do),中
432,首爾 4 號線,總神大入口,총신대입구,Chongsindaeipgu,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「總神大學」；英文採官方站名「Chongshin Univ. (Isu)」；英文改為「Chongshin Univ. (Isu)」；若仍要保留拼音，另增 romanized 欄位,[首都圈电铁4号线](https://zh.wikipedia.org/wiki/首都圈电铁4号线)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do)；[Seoul Metro multilingual 2026-03-26](https://www.data.go.kr/data/15044232/fileData.do),中
640,首爾 6 號線,高麗大,고려대,Goryeodae,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「高麗大學」；英文採官方站名「Korea Univ.(Jongam)」；英文改為「Korea Univ.(Jongam)」；若仍要保留拼音，另增 romanized 欄位,[首尔地铁6号线](https://zh.wikipedia.org/wiki/首尔地铁6号线)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do)；[Seoul Metro multilingual 2026-03-26](https://www.data.go.kr/data/15044232/fileData.do),中
727,首爾 7 號線,建大入口,건대입구,Geondaeipgu,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「建國大學」；英文採官方站名「Konkuk Univ.」；英文改為「Konkuk Univ.」；若仍要保留拼音，另增 romanized 欄位,[首爾地鐵7號線](https://zh.wikipedia.org/wiki/首爾地鐵7號線)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do)；[Seoul Metro multilingual 2026-03-26](https://www.data.go.kr/data/15044232/fileData.do),中
738,首爾 7 號線,崇實大入口,숭실대입구,Sungsildaeipgu,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「崇實大學」；英文採官方站名「Soongsil Univ.(Salpijae)」；英文改為「Soongsil Univ.(Salpijae)」；若仍要保留拼音，另增 romanized 欄位,[首爾地鐵7號線](https://zh.wikipedia.org/wiki/首爾地鐵7號線)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do)；[Seoul Metro multilingual 2026-03-26](https://www.data.go.kr/data/15044232/fileData.do),中
A03,機場鐵路 A'REX,弘大入口,홍대입구,Hongdaeipgu,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「弘益大學」；英文採官方站名「Hongik Univ.」；英文改為「Hongik Univ.」；若仍要保留拼音，另增 romanized 欄位,[仁川國際機場鐵道](https://zh.wikipedia.org/wiki/仁川國際機場鐵道)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do)；[KRIC AREX 2025-06-30](https://www.data.go.kr/data/15041034/fileData.do),中
S120,牛耳新設線,誠信女大入口,성신여대입구,Seongsinyeodae Ipgu,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「誠信女子大學」；英文採官方站名「Sungshin Women's University」；英文改為「Sungshin Women's University」；若仍要保留拼音，另增 romanized 欄位,[首爾輕電鐵牛耳新設線](https://zh.wikipedia.org/wiki/首爾輕電鐵牛耳新設線)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do)；[KRIC Ui-Sinseol 2025-06-30](https://www.data.go.kr/data/15041029/fileData.do),中
P153,首爾 1 號線（京釜·長項線）,成均館大,성균관대,Sungkyunkwan Univ.,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字,中文改為「成均館大學」；英文採官方站名「Sungkyunkwan Univ.」,[首都圈電鐵1號線](https://zh.wikipedia.org/wiki/首都圈電鐵1號線)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do),中
P159,首爾 1 號線（京釜·長項線）,烏山大,오산대,Osan Univ.,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字,中文改為「烏山大學」；英文採官方站名「Osan Univ.」,[首都圈電鐵1號線](https://zh.wikipedia.org/wiki/首都圈電鐵1號線)；[首爾交通公社多語站名](https://www.data.go.kr/data/15044232/fileData.do),中
124,釜山 1 號線,教大,교대,Busan Nat’l Univ. of Edu.,大學／機構縮寫直接寫成『大／大入口』，沒有採用機構正式通用名稱；英文欄多為發音羅馬字,中文改為「釜山教育大學」；英文採官方站名「BusanNat'lUniv. of Edu.」,[釜山都市铁道1号线](https://zh.wikipedia.org/wiki/釜山都市铁道1号线)；[釜山交通公社都市鐵道站名](https://www.data.go.kr/data/3077187/fileData.do),中
S112,牛耳新設線,4·19民主墓地,419민주묘지,Sailgu Minju Myoji,韓文少了官方名稱中的句點，英文為自行拼讀；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,"韓文改為「4.19민주묘지」；英文改為「April 19th National Cemetery」；英文改為「April 19th National Cemetery_x000D_
(Duksung Women's Univ.)」；若仍要保留拼音，另增 romanized 欄位",[KRIC 牛耳新設線](https://www.data.go.kr/data/15041029/fileData.do)；[KRIC Ui-Sinseol 2025-06-30](https://www.data.go.kr/data/15041029/fileData.do),高
504,釜山－金海輕軌,金海國際機場,김해국제공항,Gimhae International Airport,韓文主站名無法對上營運資料；官方主站名為「공항」；站號使用自訂 5xx；官方旅客站號為 104,韓文改為「공항」；中文改為「機場」；英文採「Gimhae Int'l Airport」；站號改為「104」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
521,釜山－金海輕軌,加耶大學,가야대,Kaya Univ.,站號使用自訂 5xx；官方旅客站號為 121,站號改為「121」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
520,釜山－金海輕軌,長神大學,장신대,Presbyterian Univ.,站號使用自訂 5xx；官方旅客站號為 120,站號改為「120」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
519,釜山－金海輕軌,蓮池公園,연지공원,Yeonji Park,站號使用自訂 5xx；官方旅客站號為 119,站號改為「119」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
518,釜山－金海輕軌,博物館,박물관,Museum,站號使用自訂 5xx；官方旅客站號為 118；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,站號改為「118」；以 BGL 徽章／路線色區隔，不改官方號碼；英文改為「Gimhae National Museum」；若仍要保留拼音，另增 romanized 欄位,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field)；[KRIC Busan-Gimhae 2025-06-30](https://www.data.go.kr/data/15041041/fileData.do),高
517,釜山－金海輕軌,首露王陵,수로왕릉,Royal Tomb of King Suro,站號使用自訂 5xx；官方旅客站號為 117,站號改為「117」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
516,釜山－金海輕軌,鳳凰,봉황,Bonghwang,站號使用自訂 5xx；官方旅客站號為 116,站號改為「116」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
515,釜山－金海輕軌,府院,부원,Buwon,站號使用自訂 5xx；官方旅客站號為 115,站號改為「115」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
514,釜山－金海輕軌,金海市廳,김해시청,Gimhae City Hall,站號使用自訂 5xx；官方旅客站號為 114,站號改為「114」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
513,釜山－金海輕軌,仁濟大學,인제대,Inje Univ.,站號使用自訂 5xx；官方旅客站號為 113,站號改為「113」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
512,釜山－金海輕軌,金海大學,김해대학,Gimhae College,站號使用自訂 5xx；官方旅客站號為 112,站號改為「112」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
511,釜山－金海輕軌,池內,지내,Jinae,站號使用自訂 5xx；官方旅客站號為 111,站號改為「111」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
510,釜山－金海輕軌,佛岩,불암,Buram,站號使用自訂 5xx；官方旅客站號為 110,站號改為「110」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
509,釜山－金海輕軌,大沙,대사,Daesa,站號使用自訂 5xx；官方旅客站號為 109,站號改為「109」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
508,釜山－金海輕軌,平江,평강,Pyeonggang,站號使用自訂 5xx；官方旅客站號為 108,站號改為「108」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
507,釜山－金海輕軌,大渚,대저,Daejeo,站號使用自訂 5xx；官方旅客站號為 107,站號改為「107」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
506,釜山－金海輕軌,燈丘,등구,Deunggu,站號使用自訂 5xx；官方旅客站號為 106；目前『燈丘』與官方多語資料及繁中路線表不一致,站號改為「106」；以 BGL 徽章／路線色區隔，不改官方號碼；中文改為「登龜」,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field)；[釜山—金海轻电铁](https://zh.wikipedia.org/wiki/釜山—金海轻电铁),中
505,釜山－金海輕軌,德斗,덕두,Deokdu,站號使用自訂 5xx；官方旅客站號為 105,站號改為「105」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
503,釜山－金海輕軌,西釜山流通園區,서부산유통지구,Seobusan Yutongjigu,站號使用自訂 5xx；官方旅客站號為 103,站號改為「103」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
502,釜山－金海輕軌,掛法雷諾城,괘법르네시떼,Gwaebeop Renecite,站號使用自訂 5xx；官方旅客站號為 102,站號改為「102」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
501,釜山－金海輕軌,沙上,사상,Sasang,站號使用自訂 5xx；官方旅客站號為 101,站號改為「101」；以 BGL 徽章／路線色區隔，不改官方號碼,[KRIC 金海輕軌](https://www.data.go.kr/data/15041041/fileData.do)；[金海輕軌營運單位站號說明](https://www.bglrt.com/00028/00031/00042.web?amode=view&cpage=103&gcode=1008&idx=8884&serchtype=field),高
P175,首爾 1 號線（京釜·長項線）,溫陽溫泉,온양온천,Onyangoncheon,旅客站號與路線表不一致；目前為 P175，對照表為 P176,站號改為「P176」,[首都圈電鐵1號線](https://zh.wikipedia.org/wiki/首都圈電鐵1號線),中
P176,首爾 1 號線（京釜·長項線）,新昌,신창,Sinchang,旅客站號與路線表不一致；目前為 P176，對照表為 P177,站號改為「P177」,[首都圈電鐵1號線](https://zh.wikipedia.org/wiki/首都圈電鐵1號線),中
343,首爾 3 號線,鷹峰,매봉,Maebong,目前「鷹峰」是另一個韓文站名 응봉；中文維基與 KRIC 均為梅峰,中文改為「梅峰」,[KRIC 3 號線](https://www.data.go.kr/data/15064040/fileData.do)；[首都圈電鐵3號線](https://zh.wikipedia.org/wiki/首都圈電鐵3號線),中
408,首爾 4 號線,別內別加藍,별내별가람,ByeollaeByeolgaram,純韓文固有詞 별가람 被自行寫成『別加藍』；公開多語清單採別內星江,中文改為「別內星江」,[KRIC 4 號線](https://www.data.go.kr/data/15064041/fileData.do)；[首都圈电铁4号线](https://zh.wikipedia.org/wiki/首都圈电铁4号线),中
436,首爾 4 號線,賽馬公園,경마공원,Gyeongmagongwon,目前『賽馬公園』缺少官方中文識別詞；英文也應採 Seoul Racecourse Park；英文欄目前是發音羅馬字或舊式寫法，與營運單位／KRIC 的官方英文主名稱不同,中文改為「首爾賽馬公園」；英文改為「Seoul Racecourse Park」；若仍要保留拼音，另增 romanized 欄位,[KRIC 4 號線](https://www.data.go.kr/data/15064041/fileData.do)；[首都圈电铁4号线](https://zh.wikipedia.org/wiki/首都圈电铁4号线)；[KRIC capital line 4](https://www.data.go.kr/data/15064041/fileData.do),中
